procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 359128 132592 5017760    0    0     0   192 4026 9305 68 14 18  0  0  0
 0  0      0 319392 132592 5017780    0    0     0    66 3475 6682 45 13 41  0  0  0
 3  0      0 356240 132592 5017812    0    0     0   176 2709 4191 59 20 21  0  0  0
 1  0      0 270228 132592 5017836    0    0     0   152 3517 6952 62 16 22  0  0  0
 3  0      0 317204 132592 5017860    0    0     0    24 4147 8534 58 16 27  0  0  0
 1  0      0 372512 132592 5017904    0    0     0   184 2796 4481 55 17 28  0  0  0
 1  0      0 244420 132592 5017932    0    0     0    24 4485 11930 61 17 22  0  0  0
 8  0      0 292320 132592 5017948    0    0     6   172 3373 7346 54 14 33  0  0  0
 0  0      0 404720 132600 5018028    0    0     0   218 3076 5858 57 12 31  0  0  0
 5  0      0 333080 132600 5018056    0    0     0    30 3739 7723 60 17 24  0  0  0
 1  0      0 381420 132600 5018104    0    0     0   178 3298 6706 58 12 31  0  0  0
 1  0      0 379660 132600 5018136    0    0     0   152 2989 5050 61 18 21  0  0  0
 2  0      0 325572 132600 5018196    0    0     0    56 4081 10779 54 13 33  0  0  0
 6  0      0 476052 132608 5018240    0    0     0   218 2749 4250 51 11 37  0  0  0
 2  0      0 388380 132608 5022268    0    0     0  1956 3919 8091 77 18  5  0  0  0
 6  0      0 323900 132608 5023788    0    0     0   684 4182 9478 64 15 21  0  0  0
14  0      0 324932 132608 5025684    0    0     0   898 3187 6292 42  8 50  0  0  0
